ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count let7	log2FC count miR1	log2FC count miR155	log2FC count miR16	log2FC count miR30	log2FC median let7	log2FC median miR1	log2FC median miR155	log2FC median miR16	log2FC median miR30
107	IPI:IPI00001663.1;IPI:IPI00220543.1;IPI:IPI00220542.1;IPI:IPI00220544.1;IPI:IPI00027862.2;IPI:IPI00514571.1	HTRA2;HTRA2;HTRA2;HTRA2	ENSP00000258080;ENSP00000366728;ENSP00000312893	NP_037379;NP_659540	O43464-1;O43464-3;O43464-2;O43464-4;A8K7G2	OTTHUMP00000160415;OTTHUMP00000160416	1.37E-138	592.27	14	14	14	13	15	13	18	14	0.01	0.16	0.22	0.29	-0.19
108	IPI:IPI00290543.5;IPI:IPI00001676.9	NPLOC4;NPLOC4	ENSP00000331487;ENSP00000363879	NP_060391	Q8TAT6-1;Q8TAT6-2	OTTHUMP00000181460;OTTHUMP00000181461	0	828.48	19	19	19	14	8	13	16	26	-0.01	0.11	0.25	-0.11	0.17
109	IPI:IPI00001699.1;IPI:IPI00221360.1;IPI:IPI00221362.3	PYCARD;PYCARD;PYCARD	ENSP00000247470;ENSP00000340441;ENSP00000348263	NP_037390;NP_660183	Q9ULZ3-1;Q9ULZ3-2;Q9ULZ3-3	OTTHUMP00000080158;OTTHUMP00000163239;OTTHUMP00000080160;OTTHUMP00000163240;OTTHUMP00000080159	1.21E-07	75.15	2	2	2	0	0	0	0	0					
110	IPI:IPI00001710.3;IPI:IPI00607717.1	C11orf2;C11orf2	ENSP00000279281	NP_037397	Q9UID3-1;Q9UID3-2		2.91E-118	238.7	7	7	7	6	5	4	1	2	-0.22	0.02	0.09		
111	IPI:IPI00001722.1	NTHL1	ENSP00000219066	NP_002519	P78549	OTTHUMP00000081326;OTTHUMP00000158939	1.98E-90	96.41	3	3	3	2	0	1	4	0				-0.35	
112	IPI:IPI00001730.3	FHOD1	ENSP00000258201	NP_037373	Q9Y613	OTTHUMP00000080508;OTTHUMP00000174818	9.16E-107	201.86	4	4	4	0	0	1	0	0					
113	IPI:IPI00001734.2;IPI:IPI00219478.3	PSAT1;PSAT1	ENSP00000365773;ENSP00000317606	NP_478059;NP_066977	Q9Y617-1;Q9Y617-2;Q5T7G6;Q5T7G5	OTTHUMP00000021524;OTTHUMP00000021525	0	1108.25	21	21	21	27	4	48	33	24	0.05	-0.54	-0.51	-1.03	-0.07
114	IPI:IPI00219555.2;IPI:IPI00001735.5	NCOR2;NCOR2	ENSP00000380513;ENSP00000348551	NP_001070729;NP_006303	Q9Y618-2;Q9Y618-1;Q56D06;Q9BT61;Q59GM0	OTTHUMP00000169782;OTTHUMP00000169781	3.07E-14	136.73	5	5	5	0	0	0	0	1					
115	IPI:IPI00001738.4	NUP88	ENSP00000225696	NP_002523	Q99567	OTTHUMP00000125305;OTTHUMP00000183086	2.63E-214	779.25	21	21	21	26	3	27	8	9	-0.13	-0.18	0.03	0.04	0
116	IPI:IPI00001753.1	MYH4	ENSP00000255381	NP_060003	Q9Y623	OTTHUMP00000160899;OTTHUMP00000183341	1.29E-156	318.6	7	4	6	0	0	0	6	4				0.13	0.98
117	IPI:IPI00001755.1	GPC6	ENSP00000366246	NP_005699	Q9Y625;A8K279	OTTHUMP00000018552	8.17E-07	48.42	2	2	2	0	0	0	1	0					
118	IPI:IPI00001757.1;IPI:IPI00216659.1;IPI:IPI00869206.1;IPI:IPI00383083.1	RBM8A;RBM8A	ENSP00000333001;ENSP00000358313	NP_005096	Q9Y5S9-1;Q9Y5S9-2	OTTHUMP00000015573;OTTHUMP00000015574	0	354.38	7	7	7	19	25	16	25	29	0.11	-0.08	-0.03	-0.13	-0.13
119	IPI:IPI00001786.5;IPI:IPI00843790.1;IPI:IPI00383547.2	USP36;USP36	ENSP00000310590	NP_079366	Q9P275-2;Q9P275-1;Q05C98;Q05DD0;Q9H9C5	OTTHUMP00000182535	2.76E-08	65.17	3	3	3	0	0	0	0	0					
120	IPI:IPI00001871.2	PAWR	ENSP00000328088	NP_002574	Q96IZ0	OTTHUMP00000168594;OTTHUMP00000168595	1.34E-286	284.92	5	5	5	3	0	0	0	0	-0.01				
121	IPI:IPI00873809.1;IPI:IPI00001883.1;IPI:IPI00744897.1	SNX9;SNX9	ENSP00000376024;ENSP00000252631	NP_057308	Q9Y5X1;Q59ES5	OTTHUMP00000017492	1.92E-46	339.24	10	10	10	10	4	3	20	4	0.15	0.46	0.1	0	-0.18
122	IPI:IPI00001885.1	SNX8	ENSP00000222990	NP_037453	Q9Y5X2;A4D207	OTTHUMP00000024666	9.03E-08	69.88	2	2	2	0	2	1	0	2					
123	IPI:IPI00215815.3;IPI:IPI00001891.1	AUP1;AUP1	ENSP00000366748;ENSP00000258081	NP_853553	Q9Y679-2;Q9Y679-1;A8KAQ6;Q5XKR6;Q68CX8	OTTHUMP00000160424	5.39E-194	737.65	18	18	18	31	18	32	20	6	0.04	0.04	0.15	-0.36	-0.08
124	IPI:IPI00001893.2;IPI:IPI00215946.3;IPI:IPI00289870.3	PCDH7;PCDH7;PCDH7	ENSP00000355243;ENSP00000330302	NP_002580;NP_115832;NP_115833	O60245-1;O60245-2;O60245-3;Q4W5C4		3.48E-78	223.37	5	5	5	1	7	1	2	3		-0.45			0.39
125	IPI:IPI00218686.3;IPI:IPI00001914.1	FKBP7;FKBP7	ENSP00000335194;ENSP00000233092	NP_851939	Q9Y680-2;Q9Y680-1;Q4ZG70;Q6V3B2	OTTHUMP00000163395	9.78E-26	190.53	4	4	4	0	2	3	3	0			0.04	0.69	
127	IPI:IPI00001960.4;IPI:IPI00165936.1;IPI:IPI00394749.1;IPI:IPI00844301.1	CLIC4	ENSP00000363500	NP_039234	Q9Y696;Q5VSX5;Q9NVF8	OTTHUMP00000003380	0	745.09	14	13	14	4	0	4	8	2	-0.01		-0.3	0.26	
128	IPI:IPI00001985.2;IPI:IPI00333553.3	VPS18;VPS18	ENSP00000220509	NP_065908	Q9P253-1;Q9P253-2	OTTHUMP00000160630;OTTHUMP00000175652;OTTHUMP00000175650	5.69E-26	144.35	4	4	4	0	0	2	0	0					
129	IPI:IPI00739226.1;IPI:IPI00002048.2	tAKR;tAKR	ENSP00000281339	XP_943032;XP_372302	Q9P2A0;Q9P2A1;Q9P2A2;Q9P2A3		1.29E-21	224.29	7	3	3	1	0	0	0	0					
130	IPI:IPI00002070.6	LRRC8A	ENSP00000259324;ENSP00000361680;ENSP00000361682	NP_062540	Q8IWT6;A8K1C7;Q96SW8;Q9NW37	OTTHUMP00000022308;OTTHUMP00000022309	0	1043.74	28	27	28	20	38	25	28	17	-0.3	-1.4	0.24	0.44	0.18
131	IPI:IPI00002134.4;IPI:IPI00607835.1;IPI:IPI00607716.1;IPI:IPI00607806.1	PSMD5	ENSP00000210313	NP_005038	Q16401;A6NIN3;A8K4T6;Q4VXG8	OTTHUMP00000021990	0	1437.49	25	25	25	50	42	49	59	37	-0.04	0.01	0.06	0.03	-0.11
132	IPI:IPI00002135.1	TACC3	ENSP00000326550	NP_006333	Q9Y6A5;Q2NKK4	OTTHUMP00000113796	3.97E-34	128.21	2	2	2	0	0	0	0	0					
133	IPI:IPI00002149.1;IPI:IPI00787172.1	SAR1B	ENSP00000282606;ENSP00000378443	NP_001028675;NP_057187	Q9Y6B6;Q53F37;Q9H029	OTTHUMP00000159375;OTTHUMP00000159376	1.30E-128	581.96	12	7	7	4	6	3	0	10	0.12	0.13	7.84		-0.13
134	IPI:IPI00002186.5	ARFGEF2	ENSP00000360985	NP_006411	Q9Y6D5;Q59FR3;Q86TH5	OTTHUMP00000031231	9.13E-43	401.26	14	6	14	1	5	2	1	7		-0.18			0.06
135	IPI:IPI00002188.2	ARFGEF1	ENSP00000262215	NP_006412	Q9Y6D6;Q59FY5	OTTHUMP00000174827;OTTHUMP00000177731	5.28E-48	375.55	11	3	3	0	0	0	0	1					
136	IPI:IPI00002203.6;IPI:IPI00220152.2;IPI:IPI00786906.1;IPI:IPI00068254.1	BCCIP;BCCIP;BCCIP;BCCIP	ENSP00000278100;ENSP00000357748;ENSP00000376479;ENSP00000299130	NP_510868;NP_057651;NP_510869	Q9P287-1;Q9P287-2;Q9P287-3	OTTHUMP00000020715;OTTHUMP00000020714;OTTHUMP00000020716	8.91E-218	469.69	10	10	10	11	6	13	5	9	-0.1	0.39	0.23	-0.34	-0.04
137	IPI:IPI00002212.1;IPI:IPI00335281.1;IPI:IPI00872754.1;IPI:IPI00640104.2;IPI:IPI00552426.2;IPI:IPI00641189.1	STK24;STK24;STK24;STK24	ENSP00000365730;ENSP00000365737;ENSP00000380651;ENSP00000365716	NP_003567;NP_001027467	Q9Y6E0-1;Q9Y6E0-2;Q5T5B3;Q6FG81;Q6P0Y1;Q5U0E6;Q5T5B4	OTTHUMP00000018593;OTTHUMP00000018592;OTTHUMP00000018594	1.77E-187	440.73	10	4	10	6	5	8	5	6	-0.05	-0.3	-0.38	-0.07	-0.16
138	IPI:IPI00002214.1;IPI:IPI00789457.1;IPI:IPI00873236.1;IPI:IPI00798157.1	KPNA2;KPNA2	ENSP00000332455;ENSP00000383670	NP_002257	P52292;A8K7D9;Q53YE3;Q6NVW7;Q7Z726	OTTHUMP00000183339;OTTHUMP00000183338	0	1395.22	26	26	26	63	79	59	102	112	0	-0.02	-0.08	-0.23	0.23
139	IPI:IPI00002230.4;IPI:IPI00790972.1	AADACL1	ENSP00000273512	NP_065843	Q6PIU2	OTTHUMP00000173605	6.47E-227	491.13	11	11	11	42	42	40	24	16	0.48	-0.01	0.26	-0.06	-0.67
140	IPI:IPI00002255.4;IPI:IPI00872127.1	LRBA	ENSP00000349629	NP_006717	P50851;Q4W5J4;Q4W5L6;Q59HC1;Q68D03;Q6P1X2;Q8NFQ0;Q969R7		2.46E-191	571.78	13	12	13	0	0	0	0	0					
141	IPI:IPI00002270.3	C6orf211	ENSP00000356263	NP_078849	Q9H993	OTTHUMP00000017433	4.45E-11	137.77	5	5	5	0	0	0	0	0					
142	IPI:IPI00002324.6;IPI:IPI00181717.5;IPI:IPI00845510.1;IPI:IPI00845294.1;IPI:IPI00845444.1;IPI:IPI00874248.1	MAT2B;MAT2B;MAT2B;MAT2B	ENSP00000325425;ENSP00000280969	NP_037415;NP_877725	Q9NZL9-1;Q9NZL9-2;Q9NZL9-4;Q9NZL9-3;A8K7A4	OTTHUMP00000160917;OTTHUMP00000160916	0	418.91	7	7	7	6	2	8	0	0	-0.28		-0.21		
143	IPI:IPI00002335.1	HD	ENSP00000347184	NP_002102	P42858;A8K3C9;Q59FF4		5.20E-150	549.06	14	14	14	0	1	0	0	1					
144	IPI:IPI00002349.2;IPI:IPI00828018.1	NUFIP2	ENSP00000225388	NP_065823	Q7Z417;A1L3A7	OTTHUMP00000181037	1.77E-168	603.84	14	14	14	9	10	6	11	4	0.26	0.1	-0.15	-0.33	-0.77
145	IPI:IPI00002372.1;IPI:IPI00185503.4	ABCD3;ABCD3	ENSP00000359233;ENSP00000326880;ENSP00000377780	NP_002849	P28288;Q6NUN5;Q96DA3	OTTHUMP00000012428;OTTHUMP00000012429	0	1510.72	33	33	33	36	59	76	54	67	0.02	-0.03	0.08	-0.01	0.14
146	IPI:IPI00877174.1;IPI:IPI00002405.4	OAS3;OAS3	ENSP00000228928	NP_006178	Q9Y6K5;A8KA84;Q2HJ14	OTTHUMP00000169316	1.30E-44	563	15	15	15	5	0	5	12	0	0.09		0.02	0.78	
147	IPI:IPI00002408.4;IPI:IPI00448515.1	RPAP3;RPAP3	ENSP00000005386;ENSP00000370024	NP_078880	Q9H6T3-1;Q9H6T3-2	OTTHUMP00000167254	4.49E-61	253.26	7	7	7	5	0	2	0	0	0.33				
148	IPI:IPI00002412.1;IPI:IPI00514424.2;IPI:IPI00514248.2;IPI:IPI00514996.1	PPT1;PPT1;PPT1	ENSP00000361869;ENSP00000361865;ENSP00000361862	NP_000301	P50897;Q6FGQ4;Q5T0S6;Q5T0S4	OTTHUMP00000004836;OTTHUMP00000004837;OTTHUMP00000004838	0	435.35	7	7	7	10	11	19	17	14	0.12	-0.11	0.08	-0.56	0.2
150	IPI:IPI00002460.3;IPI:IPI00021771.1;IPI:IPI00514510.1	ANXA7;ANXA7;ANXA7	ENSP00000378317;ENSP00000362012;ENSP00000362010	NP_001147;NP_004025	P20073-1;P20073-2;Q5T0M6;Q53HM8;Q5T0M7	OTTHUMP00000019812;OTTHUMP00000019813	0	651.42	11	11	11	29	23	27	1	13	0.19	0.18	0.19		0
151	IPI:IPI00002478.1;IPI:IPI00216760.1;IPI:IPI00216762.1;IPI:IPI00216758.1;IPI:IPI00514800.3	ECE1;ECE1;ECE1;ECE1	ENSP00000364028;ENSP00000264205;ENSP00000349581	NP_001388	P42892-1;P42892-3;P42892-4;P42892-2;A8K3P1;Q2Z2K8	OTTHUMP00000002725;OTTHUMP00000002724;OTTHUMP00000002726	0	1400.27	29	29	29	13	52	70	49	53	0.03	-0.1	-0.1	0.08	0.33
152	IPI:IPI00030920.2;IPI:IPI00002496.2;IPI:IPI00797050.1	GMPPB;AMIGO3;AMIGO3;GMPPB;AMIGO3	ENSP00000311130;ENSP00000309092	NP_068806;NP_037466	Q9Y5P6-1;Q9Y5P6-2;A8K6N5	OTTHUMP00000171201;OTTHUMP00000171200;OTTHUMP00000171202;OTTHUMP00000171203	8.61E-125	343.45	8	8	8	0	0	3	0	0			-0.05		
153	IPI:IPI00002506.1	ALG5	ENSP00000239891	NP_037470	Q9Y673;Q5TBA6;Q9HC03	OTTHUMP00000018263	1.62E-123	566.85	13	13	13	8	4	13	17	8	0.01	-0.18	0	0.17	-0.13
154	IPI:IPI00002519.1;IPI:IPI00220668.1;IPI:IPI00793862.1;IPI:IPI00220669.1;IPI:IPI00791841.1;IPI:IPI00008665.1;IPI:IPI00796912.1	SHMT1;SHMT1;SHMT1;SHMT1	ENSP00000318868;ENSP00000318805;ENSP00000379041;ENSP00000345881;ENSP00000379040	NP_004160;NP_683718	P34896-1;P34896-2;P34896-3;Q53ET7;Q96HY0;A8MYA6;Q9UMC9	OTTHUMP00000065139;OTTHUMP00000183285;OTTHUMP00000065141;OTTHUMP00000183284;OTTHUMP00000065140;OTTHUMP00000065142	8.59E-240	521.08	10	9	9	7	2	7	8	6	0.09		0.01	-0.01	0.04
155	IPI:IPI00002520.1;IPI:IPI00789370.1;IPI:IPI00748411.1;IPI:IPI00794549.1;IPI:IPI00794060.1;IPI:IPI00797816.1;IPI:IPI00797146.1;IPI:IPI00795816.1;IPI:IPI00794572.1;IPI:IPI00795324.1;IPI:IPI00386540.2;IPI:IPI00797074.1	SHMT2;SHMT2;SHMT2;SHMT2	ENSP00000333667;ENSP00000377413	NP_005403	P34897;Q5HYG8;Q8N1A5;Q53ET4;Q5BJF5	OTTHUMP00000168146;OTTHUMP00000168156;OTTHUMP00000168148;OTTHUMP00000168149	0	1889.46	30	29	30	155	148	180	296	180	0.02	0.14	-0.04	-0.09	0.03
156	IPI:IPI00002521.1;IPI:IPI00456008.1;IPI:IPI00794158.1	"ATP synthase-coupling factor 6, mitochondrial precursor;ATP5J;ATP5J"	ENSP00000284971;ENSP00000382959;ENSP00000382961;ENSP00000382962;ENSP00000382965;ENSP00000382966;ENSP00000382971	NP_001003696;NP_001003697;NP_001003703;NP_001676;NP_001003701	P18859;Q6IB54;Q6NZ59;A8MUH2	OTTHUMP00000096106;OTTHUMP;OTTHUMP00000096109	1.92E-222	290.31	6	6	6	13	19	0	6	22	-0.07	0.06		0.4	-0.01
157	IPI:IPI00002525.3	NENF	ENSP00000355955	NP_037481	Q9UMX5;A1KYQ8	OTTHUMP00000034886	6.70E-99	298.26	7	7	7	12	12	15	21	23	0.15	-0.03	0.31	0.23	0.22
158	IPI:IPI00002535.2	FKBP2	ENSP00000310935;ENSP00000378046	NP_004461;NP_476433	P26885;Q53XJ5		3.93E-299	747.35	14	14	14	24	34	21	31	44	0.07	-0.03	0.16	0.14	-0.11
159	IPI:IPI00002549.1;IPI:IPI00375832.1;IPI:IPI00739363.2	ANAPC2;ANAPC2;LOC650621	ENSP00000314004	NP_037498;XP_944803	Q9UJX6-1;Q9UJX6-2	OTTHUMP00000022692	4.89E-09	110.88	4	4	4	0	0	4	0	0			0.08		
160	IPI:IPI00002551.3;IPI:IPI00419201.3	ANAPC4;ANAPC4	ENSP00000318775	NP_037499	Q9UJX5-1;Q9UJX5-2;A8K8H1;Q6PCC6	OTTHUMP00000123382	1.22E-09	106.36	5	5	5	1	0	0	1	0					
161	IPI:IPI00002552.2;IPI:IPI00219794.5;IPI:IPI00787626.1	AP1M2;AP1M2	ENSP00000250244	NP_005489	Q9Y6Q5-1;Q9Y6Q5-2;Q53GI5	OTTHUMP00000067120;OTTHUMP00000076091;OTTHUMP00000076092	6.77E-11	170.89	5	2	2	0	0	0	0	0					
162	IPI:IPI00002557.1;IPI:IPI00471964.4;IPI:IPI00744542.3;IPI:IPI00385633.1	COPG2;TSGA13	ENSP00000331218	NP_036265	Q9UBF2;A6NH74;Q2NLA0;Q54AC3;Q8WVW8;Q96PK0;Q9H9B7;Q9NUP3	OTTHUMP00000024730	0	709.01	15	11	11	3	2	1	2	1	0.15				
163	IPI:IPI00002564.3;IPI:IPI00794751.1	XRCC1	ENSP00000262887	NP_006288	P18887;Q59HH7;Q6IBS4	OTTHUMP00000068874;OTTHUMP00000078250	1.42E-18	234.98	6	6	6	10	1	8	5	2	0.08		-0.03	0.19	
164	IPI:IPI00873956.1;IPI:IPI00847436.1;IPI:IPI00002579.4	JARID1B;JARID1B;JARID1B	ENSP00000356234;ENSP00000356233;ENSP00000235790	NP_006609	Q9UGL1-1;Q9UGL1-2;O94800;Q6UGB8;Q9NSZ7;Q9UFC7;Q9UFD3;Q9UIW7	OTTHUMP00000038815;OTTHUMP00000038816	1.02E-26	165.74	6	6	6	0	1	0	0	0					
165	IPI:IPI00002580.2	PIK3C2A	ENSP00000265970	NP_002636	O00443	OTTHUMP00000196155	1.41E-16	229.97	9	9	9	0	1	1	0	0					
167	IPI:IPI00871903.1;IPI:IPI00002624.1;IPI:IPI00382756.1	PLRG1;PLRG1;PLRG1	ENSP00000377483;ENSP00000303191	NP_002660	O43660-1;O43660-2;A8MW61		1.60E-196	739.06	19	19	19	22	1	33	23	3	0.15		0.06	-0.33	-0.09
168	IPI:IPI00002646.1;IPI:IPI00170862.1;IPI:IPI00553080.1	UXT;UXT;UXT	ENSP00000327797;ENSP00000337393;ENSP00000366163	NP_004173;NP_705582	Q9UBK9;Q5JZG2	OTTHUMP00000023226;OTTHUMP00000023227;OTTHUMP00000023228	1.11E-55	156.84	2	2	2	2	1	3	4	3			-0.01	-0.33	0.48
170	IPI:IPI00002732.2;IPI:IPI00641761.2;IPI:IPI00640273.1	EXTL2;EXTL2	ENSP00000359131;ENSP00000359132	NP_001028197;NP_001430	Q9UBQ6;O00245;Q05DH5;Q49A43;Q8IYF4;Q8N8F1	OTTHUMP00000013586;OTTHUMP00000013587;OTTHUMP00000013589	3.47E-30	187.67	5	5	5	4	0	4	1	0	0.16		-0.03		
171	IPI:IPI00002745.1;IPI:IPI00448792.1	CTSZ;CTSZ	ENSP00000217131;ENSP00000360091	NP_001327	Q9UBR2;Q5U000;Q6PJ02	OTTHUMP00000031409	1.54E-85	275.38	4	4	4	3	1	6	3	3	0.28		-0.04	0.33	0.14
172	IPI:IPI00002790.3;IPI:IPI00555723.1;IPI:IPI00181016.2;IPI:IPI00382747.1;IPI:IPI00874077.1	SEL1L	ENSP00000337053	NP_005056	Q9UBV2-1;Q3ZCU6	OTTHUMP00000027904	3.77E-187	595.82	16	16	16	8	22	21	11	14	-0.04	0	-0.12	0.03	-0.19
173	IPI:IPI00002804.1;IPI:IPI00514041.1;IPI:IPI00514557.3;IPI:IPI00005990.1	PKN2;PKN2	ENSP00000359552;ENSP00000317851	NP_006247	Q16513;Q08AF4;Q6P5W9;Q5TBX6	OTTHUMP00000011760;OTTHUMP00000012334	8.82E-21	275.57	8	8	8	0	2	3	0	1			-1.15		
174	IPI:IPI00002824.7;IPI:IPI00793531.1;IPI:IPI00792951.1	CSRP2;CSRP2;CSRP2	ENSP00000310901	NP_001312	Q16527	OTTHUMP00000168573;OTTHUMP00000168576;OTTHUMP00000168575	4.08E-113	304.22	8	4	8	0	0	0	1	0					
175	IPI:IPI00002853.1;IPI:IPI00556528.1	PPP2R5E;PPP2R5E	ENSP00000337641	NP_006237	Q16537;A4FU37;Q3ZCW9;Q562F2;Q58EX4;Q86XZ2;Q59EK0	OTTHUMP00000028105;OTTHUMP00000179057	1.68E-143	334.73	7	5	5	3	0	5	1	3	0.48		-0.18		-0.08
176	IPI:IPI00002857.2;IPI:IPI00221142.3;IPI:IPI00221141.3;IPI:IPI00221143.3	MAPK14;MAPK14;MAPK14;MAPK14	ENSP00000229794;ENSP00000229795;ENSP00000308669	NP_620581;NP_620582;NP_001306;NP_620583	Q16539-1;Q16539-3;Q16539-2;Q16539-4;A8K6P4;Q15454		2.74E-39	198.94	7	7	7	4	1	9	0	0	0.08		-0.17		
177	IPI:IPI00002879.5	C14orf169		NP_078920	Q9H6W3	OTTHUMP00000028099	2.63E-12	143.41	5	5	5	3	0	3	3	0	-0.11		0.18	-0.21	
178	IPI:IPI00002894.2;IPI:IPI00655631.1;IPI:IPI00556021.2	POLD1;POLD1;POLD1	ENSP00000262266;ENSP00000375693;ENSP00000366129	NP_002682	P28340;Q308M6;Q59FA0	OTTHUMP00000069967;OTTHUMP00000077834;OTTHUMP00000077835	7.43E-225	1175.8	29	29	29	32	12	43	13	7	-0.07	-0.42	-0.16	-0.02	-0.02
179	IPI:IPI00002895.1;IPI:IPI00789935.1;IPI:IPI00792286.1	SUPT4H1	ENSP00000225504	NP_003159	P63272	OTTHUMP00000182062	2.00E-11	139.98	3	3	3	6	3	0	8	5	-0.15	0.12		0.4	-0.05
180	IPI:IPI00002901.5;IPI:IPI00478488.1;IPI:IPI00844019.1;IPI:IPI00556114.1;IPI:IPI00412347.4;IPI:IPI00385455.3;IPI:IPI00647431.3	TEAD1;TEAD1;-;TEAD1;TEAD3;TEAD3;TEAD3	ENSP00000334754;ENSP00000354588;ENSP00000355332;ENSP00000345772;ENSP00000349828;ENSP00000363012	NP_068780;NP_003205	P28347;Q99594;A4FUP2;Q59EF3;Q71U35;Q7Z6U9;Q7Z6V0;Q96G15;Q7Z6U7;Q7Z6U8	OTTHUMP00000016261;OTTHUMP00000016262	5.94E-10	148.8	5	3	5	2	0	3	5	0			0.02	0.18	
181	IPI:IPI00002902.5	NOL9	ENSP00000366934	NP_078930	Q5SY16;Q2NL84	OTTHUMP00000001049	7.99E-194	659.3	19	19	19	26	18	36	29	6	-0.01	0.14	0.04	-0.09	0
182	IPI:IPI00002922.5;IPI:IPI00640917.1;IPI:IPI00218132.2;IPI:IPI00020873.1;IPI:IPI00792325.1	TBL1XR1	ENSP00000263964	NP_078941	Q9BZK7	OTTHUMP00000173623	0	724.42	15	15	15	19	2	25	3	13	0.08		0.11	0.11	0
183	IPI:IPI00002926.4;IPI:IPI00789800.1	VPS37B	ENSP00000267202	NP_078943	Q9H9H4	OTTHUMP00000169760	3.16E-73	173.49	4	4	4	0	0	1	2	0					
184	IPI:IPI00002938.1	ABT1	ENSP00000274849	NP_037507	Q9ULW3	OTTHUMP00000017935	8.99E-17	256.48	8	8	8	1	1	2	4	0				-0.06	
185	IPI:IPI00002966.1;IPI:IPI00031022.2	HSPA4	ENSP00000302961	NP_002145	P34932;O14992;Q2TAL4;Q59GF8;Q7KYN0	OTTHUMP00000159262	0	2765.34	52	48	52	69	71	51	61	59	0.03	0.14	-0.1	-0.12	0.09
186	IPI:IPI00002968.1	MOCS2		NP_789776	O96033		3.01E-16	205.72	5	5	5	0	3	0	0	6		-0.01			0.2
187	IPI:IPI00003004.1;IPI:IPI00795087.1;IPI:IPI00027826.6	SLC25A22	ENSP00000322020	NP_078974	Q9H936;A8K366	OTTHUMP00000164433	1.73E-245	618.89	12	12	12	19	29	14	28	33	-0.05	-0.73	0.43	-1.56	0.37
188	IPI:IPI00741970.1;IPI:IPI00003016.4	STRN4;STRN4	ENSP00000375777;ENSP00000263280	NP_001034966;NP_037535	Q9NRL3;Q59GV6	OTTHUMP00000069148;OTTHUMP00000078118	1.70E-06	100.22	3	2	2	2	0	3	3	0			0.19	-0.14	
189	IPI:IPI00003027.1	GEMIN7	ENSP00000270257;ENSP00000375813	NP_001007270;NP_001007271;NP_078983	Q9H840;Q6IA34	OTTHUMP00000069032;OTTHUMP00000076736	6.59E-27	96.52	2	2	2	3	3	0	3	0	-0.4	0.12		0.07	
190	IPI:IPI00551022.3;IPI:IPI00003031.3;IPI:IPI00384673.1	ISOC2;ISOC2	ENSP00000085068	NP_078986	Q96AB3-1;Q96AB3-2	OTTHUMP00000076615;OTTHUMP00000069915;OTTHUMP00000076614	3.57E-259	342.45	6	6	6	0	12	7	6	9		0.01	0.13	0.35	-0.08
191	IPI:IPI00003035.1;IPI:IPI00794726.1;IPI:IPI00847799.1	C15orf29;C15orf29;LOC729176	ENSP00000256544	NP_078989	Q9H079;A8KAF6	OTTHUMP00000159730;OTTHUMP00000176140;OTTHUMP00000176141	2.45E-05	67.67	2	2	2	0	0	0	0	0					
192	IPI:IPI00003128.1;IPI:IPI00182373.2;IPI:IPI00657713.1;IPI:IPI00853118.1;IPI:IPI00657829.1;IPI:IPI00852618.1;IPI:IPI00657802.1;IPI:IPI00852922.1;IPI:IPI00852962.1;IPI:IPI00852761.1	P4HA2;P4HA2	ENSP00000166534;ENSP00000351611;ENSP00000368398;ENSP00000353772;ENSP00000368379;ENSP00000368394	NP_004190;NP_001017973;NP_001017974	O15460-1;O15460-2;Q5HYD8;Q05DA4	OTTHUMP00000065966;OTTHUMP00000065968;OTTHUMP00000065967;OTTHUMP00000065969	0	1101.44	23	23	23	23	21	45	31	46	0.01	-0.02	0.45	0.23	-0.57
193	IPI:IPI00003168.1;IPI:IPI00796213.1;IPI:IPI00789576.1;IPI:IPI00795423.1;IPI:IPI00788900.1;IPI:IPI00789022.1;IPI:IPI00798249.1;IPI:IPI00445190.1	PRPSAP2;PRPSAP2;PRPSAP2;PRPSAP2	ENSP00000268835;ENSP00000379017	NP_002758	O60256	OTTHUMP00000065716;OTTHUMP00000182964;OTTHUMP00000065718;OTTHUMP00000065720;OTTHUMP00000065721;OTTHUMP00000065724;OTTHUMP00000065717	0	452.64	10	8	8	2	0	0	5	2				-0.02	
194	IPI:IPI00003176.1;IPI:IPI00643586.4	HTRA1	ENSP00000357980	NP_002766	Q92743	OTTHUMP00000063514	6.03E-17	207.08	5	5	5	8	0	10	3	0	0.24		-0.41	-0.27	
195	IPI:IPI00003217.3;IPI:IPI00514549.1	PSMB7	ENSP00000259457	NP_002790	Q99436;Q5TBG6;Q6IBT1;Q86U62	OTTHUMP00000022798	0	577.48	11	11	11	4	11	3	4	13	0.4	0.01	0.07	-0.16	0.07
196	IPI:IPI00003269.1;IPI:IPI00739998.1	DKFZp686D0972	ENSP00000306469	NP_001017992	Q562R1;Q562R2;Q562S9;Q562X8		0	760.82	16	4	4	31	33	31	39	16	0.13	-0.14	0.13	0.11	0.19
197	IPI:IPI00003309.4;IPI:IPI00790361.1;IPI:IPI00791273.1;IPI:IPI00791019.1	POLR2H	ENSP00000296223	NP_006223	P52434	OTTHUMP00000173830;OTTHUMP00000173833	0	638.48	9	9	9	19	26	11	26	30	-0.21	0	0.03	-0.06	0.04
